source	target	type	strength
T_AGEING	R_ASSET	Trend-Risk	19
T_AGEING	R_BIODIVERSITY	Trend-Risk	2
T_AGEING	R_CRITICALINFO	Trend-Risk	2
T_AGEING	R_CRITICALINFRA	Trend-Risk	32
T_AGEING	R_CYBERATTACKS	Trend-Risk	1
T_AGEING	R_DATAFRAUD	Trend-Risk	6
T_AGEING	R_DEFLATION	Trend-Risk	56
T_AGEING	R_ENERGY	Trend-Risk	1
T_AGEING	R_FAILURECLIMATE	Trend-Risk	2
T_AGEING	R_FAILUREURBAN	Trend-Risk	48
T_AGEING	R_FINANCIALMECH	Trend-Risk	22
T_AGEING	R_FISCALCRISES	Trend-Risk	81
T_AGEING	R_FOOD	Trend-Risk	15
T_AGEING	R_ILLICITTRADE	Trend-Risk	1
T_AGEING	R_INFECTIOUSDISEASES	Trend-Risk	9
T_AGEING	R_INFLATION	Trend-Risk	10
T_AGEING	R_MIGRATION	Trend-Risk	10
T_AGEING	R_NATIONALGOV	Trend-Risk	16
T_AGEING	R_NATURALCATA	Trend-Risk	1
T_AGEING	R_REGIONALGOV	Trend-Risk	10
T_AGEING	R_SOCIALINSTABILITY	Trend-Risk	68
T_AGEING	R_STATECOLLAPSE	Trend-Risk	3
T_AGEING	R_TECHADV	Trend-Risk	13
T_AGEING	R_TERRORIST	Trend-Risk	1
T_AGEING	R_UNEMPLOYMENT	Trend-Risk	69
T_AGEING	R_WATER	Trend-Risk	5
T_AGEING	R_WEATHEREVENTS	Trend-Risk	2
T_AGEING	R_WMD	Trend-Risk	1
T_CHRONICDISEASES	R_BIODIVERSITY	Trend-Risk	2
T_CHRONICDISEASES	R_DEFLATION	Trend-Risk	1
T_CHRONICDISEASES	R_FAILURECLIMATE	Trend-Risk	2
T_CHRONICDISEASES	R_FAILUREURBAN	Trend-Risk	6
T_CHRONICDISEASES	R_FINANCIALMECH	Trend-Risk	1
T_CHRONICDISEASES	R_FISCALCRISES	Trend-Risk	2
T_CHRONICDISEASES	R_FOOD	Trend-Risk	2
T_CHRONICDISEASES	R_INFECTIOUSDISEASES	Trend-Risk	9
T_CHRONICDISEASES	R_INFLATION	Trend-Risk	1
T_CHRONICDISEASES	R_MANMADECATA	Trend-Risk	4
T_CHRONICDISEASES	R_MIGRATION	Trend-Risk	6
T_CHRONICDISEASES	R_NATIONALGOV	Trend-Risk	2
T_CHRONICDISEASES	R_NATURALCATA	Trend-Risk	1
T_CHRONICDISEASES	R_REGIONALGOV	Trend-Risk	5
T_CHRONICDISEASES	R_SOCIALINSTABILITY	Trend-Risk	6
T_CHRONICDISEASES	R_STATECOLLAPSE	Trend-Risk	2
T_CHRONICDISEASES	R_TECHADV	Trend-Risk	2
T_CHRONICDISEASES	R_UNEMPLOYMENT	Trend-Risk	3
T_CHRONICDISEASES	R_WATER	Trend-Risk	4
T_CHRONICDISEASES	R_WMD	Trend-Risk	1
T_CLIMATECHANGE	R_ASSET	Trend-Risk	3
T_CLIMATECHANGE	R_BIODIVERSITY	Trend-Risk	86
T_CLIMATECHANGE	R_CRITICALINFO	Trend-Risk	3
T_CLIMATECHANGE	R_CRITICALINFRA	Trend-Risk	6
T_CLIMATECHANGE	R_ENERGY	Trend-Risk	11
T_CLIMATECHANGE	R_FAILURECLIMATE	Trend-Risk	102
T_CLIMATECHANGE	R_FAILUREURBAN	Trend-Risk	8
T_CLIMATECHANGE	R_FINANCIALMECH	Trend-Risk	2
T_CLIMATECHANGE	R_FISCALCRISES	Trend-Risk	3
T_CLIMATECHANGE	R_FOOD	Trend-Risk	80
T_CLIMATECHANGE	R_ILLICITTRADE	Trend-Risk	3
