source	target	type	strength
T_AGEING	R_ASSET	Trend-Risk	19
T_AGEING	R_BIODIVERSITY	Trend-Risk	1
T_AGEING	R_CRITICALINFO	Trend-Risk	2
T_AGEING	R_CRITICALINFRA	Trend-Risk	34
T_AGEING	R_CYBERATTACKS	Trend-Risk	2
T_AGEING	R_DATAFRAUD	Trend-Risk	8
T_AGEING	R_DEFLATION	Trend-Risk	31
T_AGEING	R_ENERGY	Trend-Risk	1
T_AGEING	R_FAILURECLIMATE	Trend-Risk	1
T_AGEING	R_FAILUREURBAN	Trend-Risk	65
T_AGEING	R_FINANCIALMECH	Trend-Risk	22
T_AGEING	R_FISCALCRISES	Trend-Risk	85
T_AGEING	R_FOOD	Trend-Risk	12
T_AGEING	R_ILLICITTRADE	Trend-Risk	3
T_AGEING	R_INFECTIOUSDISEASES	Trend-Risk	10
T_AGEING	R_INFLATION	Trend-Risk	7
T_AGEING	R_MANMADECATA	Trend-Risk	4
T_AGEING	R_MIGRATION	Trend-Risk	14
T_AGEING	R_NATIONALGOV	Trend-Risk	13
T_AGEING	R_REGIONALGOV	Trend-Risk	8
T_AGEING	R_SOCIALINSTABILITY	Trend-Risk	93
T_AGEING	R_STATECOLLAPSE	Trend-Risk	3
T_AGEING	R_TECHADV	Trend-Risk	25
T_AGEING	R_UNEMPLOYMENT	Trend-Risk	77
T_AGEING	R_WATER	Trend-Risk	3
T_AGEING	R_WEATHEREVENTS	Trend-Risk	3
T_CHRONICDISEASES	R_BIODIVERSITY	Trend-Risk	7
T_CHRONICDISEASES	R_CRITICALINFRA	Trend-Risk	6
T_CHRONICDISEASES	R_DEFLATION	Trend-Risk	1
T_CHRONICDISEASES	R_ENERGY	Trend-Risk	2
T_CHRONICDISEASES	R_FAILURECLIMATE	Trend-Risk	2
T_CHRONICDISEASES	R_FAILUREURBAN	Trend-Risk	6
T_CHRONICDISEASES	R_FINANCIALMECH	Trend-Risk	2
T_CHRONICDISEASES	R_FISCALCRISES	Trend-Risk	5
T_CHRONICDISEASES	R_FOOD	Trend-Risk	6
T_CHRONICDISEASES	R_ILLICITTRADE	Trend-Risk	1
T_CHRONICDISEASES	R_INFECTIOUSDISEASES	Trend-Risk	16
T_CHRONICDISEASES	R_INTERSTATE	Trend-Risk	1
T_CHRONICDISEASES	R_MANMADECATA	Trend-Risk	3
T_CHRONICDISEASES	R_MIGRATION	Trend-Risk	6
T_CHRONICDISEASES	R_NATIONALGOV	Trend-Risk	3
T_CHRONICDISEASES	R_NATURALCATA	Trend-Risk	1
T_CHRONICDISEASES	R_REGIONALGOV	Trend-Risk	4
T_CHRONICDISEASES	R_SOCIALINSTABILITY	Trend-Risk	4
T_CHRONICDISEASES	R_TECHADV	Trend-Risk	2
T_CHRONICDISEASES	R_UNEMPLOYMENT	Trend-Risk	4
T_CHRONICDISEASES	R_WATER	Trend-Risk	1
T_CHRONICDISEASES	R_WEATHEREVENTS	Trend-Risk	1
T_CHRONICDISEASES	R_WMD	Trend-Risk	1
T_CLIMATECHANGE	R_ASSET	Trend-Risk	1
T_CLIMATECHANGE	R_BIODIVERSITY	Trend-Risk	94
T_CLIMATECHANGE	R_CRITICALINFO	Trend-Risk	4
T_CLIMATECHANGE	R_CRITICALINFRA	Trend-Risk	22
T_CLIMATECHANGE	R_DEFLATION	Trend-Risk	2
T_CLIMATECHANGE	R_ENERGY	Trend-Risk	14
T_CLIMATECHANGE	R_FAILURECLIMATE	Trend-Risk	102
T_CLIMATECHANGE	R_FAILUREURBAN	Trend-Risk	16
T_CLIMATECHANGE	R_FISCALCRISES	Trend-Risk	4
T_CLIMATECHANGE	R_FOOD	Trend-Risk	104
T_CLIMATECHANGE	R_ILLICITTRADE	Trend-Risk	1
T_CLIMATECHANGE	R_INFECTIOUSDISEASES	Trend-Risk	14
T_CLIMATECHANGE	R_INFLATION	Trend-Risk	2
T_CLIMATECHANGE	R_INTERSTATE	Trend-Risk	15
T_CLIMATECHANGE	R_MANMADECATA	Trend-Risk	34
