id	label	type	category	description
R_ASSET	Asset bubble	Risk	Economic	Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region.
R_DEFLATION	Deflation	Risk	Economic	Prolonged ultra-low inflation or deflation in a major economy or region.
R_FINANCIALMECH	Failure of financial mechanism or institution	Risk	Economic	Collapse of a financial institution and/or malfunctioning of a financial system impacts the global economy.
R_CRITICALINFRA	Failure of critical infrastructure	Risk	Economic	Failure to adequately invest in, upgrade and secure infrastructure networks (e.g. energy, transportation and communications) leads to pressure or a breakdown with system-wide implications.
R_FISCALCRISES	Fiscal crises	Risk	Economic	Excessive debt burdens generate sovereign debt crises and/or liquidity crises.
R_UNEMPLOYMENT	Unemployment or underemployment	Risk	Economic	A sustained high level of unemployment or underutilization of the productive capacity of the employed population prevents the economy from attaining high levels of employment.
R_ILLICITTRADE	Illicit trade	Risk	Economic	Large-scale activities outside the legal framework such as illicit financial flow, tax evasion, human trafficking, counterfeiting and organized crime undermine social interactions, regional or international collaboration and global growth.
R_ENERGY	Energy price shock	Risk	Economic	Energy price increases or decreases significantly and places further economic pressures on highly energy-dependent industries and consumers.
R_INFLATION	Unmanageable inflation	Risk	Economic	Unmanageable increase in the general price level of goods and services in key economies.
R_WEATHEREVENTS	Extreme weather events	Risk	Environmental	Major property, infrastructure and environmental damage as well as human loss caused by extreme weather events.
R_FAILURECLIMATE	Failure of climate-change mitigation and adaptation	Risk	Environmental	Governments and businesses fail to enforce or enact effective measures to mitigate climate change, protect populations and help businesses impacted by climate change to adapt.
R_BIODIVERSITY	Biodiversity loss and ecosystem collapse	Risk	Environmental	Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries.
R_NATURALCATA	Natural catastrophes	Risk	Environmental	Major property, infrastructure and environmental damage as well as human loss caused by geophysical disasters such as earthquakes, volcanic activity, landslides, tsunamis or geomagnetic storms.
R_MANMADECATA	Man-made environmental catastrophes	Risk	Environmental	Failure to prevent major man-made catastrophes, causing harm to lives, human health, infrastructure, property, economic activity and the environment.
R_NATIONALGOV	Failure of national governance	Risk	Geopolitical	Inability to govern a nation of geopolitical importance due to weak rule of law, corruption or political deadlock.
